win,firstBlood,firstTower,KillDiff,AssistDiff,DamageDiff,TrueDamageDiff,HealDiff,CCTimeDiff,MinionDiff,CounterJungleDiff,DragonDiff,BaronDiff
0,0,0,-17,-19,-11058,576,-2878,14,-103,-16,-1,0
0,1,1,-10,-30,-3782,476,-17259,33,28,-2,-3,2
0,1,0,-9,-11,3591,3924,-20304,-6,-3,-14,-1,-1
1,0,0,5,7,26170,-987,-3785,33,23,27,1,1
0,0,0,-13,-15,-6248,-466,-1184,-5,-47,8,-1,0
0,0,1,7,21,6905,-1788,-15600,-58,59,-29,-2,-1
0,1,0,3,-1,-27647,-6856,10889,41,201,-59,-4,-3
1,1,1,16,26,27858,1559,2516,27,102,13,2,1
0,1,0,-12,-20,-23033,-5457,-3074,-40,-120,-16,-1,-1
1,1,0,-13,-9,-3581,-40,3974,0,-18,6,0,2
0,0,0,-16,-37,-11601,-3502,1385,4,-6,-28,-3,-1
0,0,0,-8,-2,-16228,-10034,-22210,-9,53,-33,-5,-1
1,1,1,-2,-2,9238,-7053,8211,-47,-27,9,4,0
1,0,0,6,21,5885,-8211,19930,14,80,-9,3,1
1,1,1,11,0,5416,-605,19882,-27,75,16,2,0
1,1,0,15,43,24257,-3581,33617,-81,5,26,1,1
1,1,1,18,21,31816,9181,-14094,2,-46,3,4,1
0,0,0,-9,-17,-9386,6002,-44769,16,-89,-13,-3,-1
1,0,0,11,16,1077,-1226,35142,-47,115,9,-1,0
1,1,1,27,46,34795,3520,-1080,11,84,11,0,0
1,0,1,10,16,17298,-449,1874,26,-24,4,-2,1
0,0,0,-5,-11,-25206,67,3894,-35,-35,-12,-4,-1
1,1,0,7,15,10054,1483,14790,-18,158,-7,-3,-2
0,0,1,-6,-23,-25123,-1593,-16236,8,-39,-18,-3,1
1,1,1,19,4,3142,264,19026,-6,-79,43,4,2
1,1,1,14,39,20201,1319,-2649,31,45,5,2,0
1,0,1,-4,-14,-1306,-3901,-51,9,152,24,-4,0
1,0,1,4,4,14166,975,3422,-29,96,21,0,0
1,1,1,21,24,28933,2353,3208,-24,128,14,3,1
